city_number,population,radius_of_circle,population_additional_0,radius_of_circle_additional_0,radius_of_circle_new_0,population_additional_1,radius_of_circle_additional_1,radius_of_circle_new_1
1.0,10562751.0,12.416745565497742,7336.0,0.32722684288358617,12.743972408381328,878767.0,3.5814272256780604,15.998172791175802
2.0,2839449.0,6.437782459176979,1972.0,0.16965736447960997,6.607439823656589,236227.0,1.856880810897159,8.294663270074139
3.0,9654127.0,11.87068456367188,6705.0,0.3128373886330404,12.18352195230492,803174.0,3.423923726885661,15.294608290557541
4.0,2044403.0,5.462639185145819,1419.0,0.143916456947079,5.606555642092898,170084.0,1.5756182097450084,7.038257394890827
5.0,3634495.0,7.2835196928602475,2524.0,0.1919393130843103,7.475459005944558,302371.0,2.1008223497080785,9.384342042568326
6.0,4543119.0,8.143222798400704,3155.0,0.21459467580556638,8.35781747420627,377964.0,2.3487915680899465,10.49201436649065
7.0,7609724.0,10.539104570271009,5285.0,0.277742126782529,10.816846697053538,633090.0,3.0398488358223554,13.578953406093365
8.0,10449177.0,12.34981078881055,7261.0,0.3255498348014908,12.675360623612042,869322.0,3.5621286152121048,15.911939404022656
9.0,935466.0,3.6951601413832917,649.0,0.09732885389362558,3.7924889952769174,77826.0,1.0658144789593185,4.76097462034261
10.0,87310.0,1.1288890358187984,60.0,0.029593401484536482,1.1584824373033349,7263.0,0.3255946671138705,1.454483702932669
11.0,1097613.0,4.002615584386438,762.0,0.1054621805440086,4.108077764930447,91315.0,1.154490391213592,5.157105975600031
12.0,399132.0,2.413668013352532,277.0,0.06358565443094791,2.4772536677834798,33205.0,0.6961791353088896,3.1098471486614216
13.0,823210.0,3.4663673040113774,571.0,0.09129296558549437,3.5576602695968718,68486.0,0.9998161823626233,4.466183486374001
14.0,311822.0,2.133401702326419,216.0,0.05614953144176608,2.189551233768185,25942.0,0.6153482763333632,2.748749978659782
15.0,149674.0,1.4780612914987679,103.0,0.03877375602491362,1.5168350475236814,12452.0,0.42632305260728587,1.9043843441060537
16.0,274403.0,2.001306880529341,190.0,0.05266184389902926,2.0539687244283704,22828.0,0.577235713321244,2.5785425938505853
17.0,773318.0,3.359683144048785,537.0,0.08853324930360032,3.4482163933523853,64336.0,0.9690502296358414,4.328733373684626
18.0,1122559.0,4.0478447654684055,779.0,0.10663210675808424,4.15447687222649,93391.0,1.1675400143206298,5.215384779789035
19.0,498915.0,2.698562876486566,346.0,0.07106525362334702,2.769628130109913,41507.0,0.7783589677436332,3.476921844230199
20.0,199566.0,1.7067210197746376,138.0,0.04488061548461007,1.7516016352592476,16602.0,0.4922655748082412,2.1989865945828786
21.0,586225.0,2.925172140839466,407.0,0.07707552037341485,3.002247661212881,48771.0,0.8437233942926934,3.7688955351321596
22.0,1135032.0,4.07027088899601,788.0,0.10724631277289313,4.177517201768903,94428.0,1.1740042162192652,5.244275105215275
23.0,561279.0,2.8622572079718056,389.0,0.07535187467744381,2.9376090826492494,46695.0,0.8255710414261632,3.6878282493979686
24.0,1060194.0,3.933796883792808,736.0,0.10364734172574286,4.03744422551855,88202.0,1.1346410124389186,5.0684378962317265
25.0,760845.0,3.3324785016451552,528.0,0.0877882157270536,3.420266717372209,63298.0,0.9612010906879086,4.2936795923330635
26.0,74837.0,1.0451471622281252,51.0,0.02728376806292014,1.0724309302910453,6226.0,0.3014559214747611,1.3466030837028864
27.0,1172450.0,4.136818113851114,814.0,0.10900124623904706,4.245819360090161,97542.0,1.1932050671001893,5.3300231809513035
28.0,735899.0,3.277391834213656,511.0,0.0863633959149899,3.363755230128646,61223.0,0.9453150328124367,4.222706867026092
29.0,361713.0,2.2977423017488228,251.0,0.06052797180748562,2.3582702735563084,30092.0,0.6627424478206709,2.9604847495694937
30.0,997839.0,3.816361429701675,26554.0,0.6225643333688301,4.438925763070505,3179369.0,6.812236683391614,10.62859811309329
