city_number,population,radius_of_circle,population_additional_0,radius_of_circle_additional_0,radius_of_circle_new_0
1.0,1258265.0,33.027673892041506,8893.0,2.776617623032261,35.804291515073764
2.0,701246.0,24.656255860462565,4956.0,2.0728008519004355,26.729056712363
3.0,646539.0,23.674962141562183,4569.0,1.9902265185250219,25.665188660087203
4.0,711193.0,24.83051151985815,5026.0,2.087387948492034,26.917899468350182
5.0,900182.0,27.935541357959153,6362.0,2.34849025269068,30.284031610649834
6.0,482418.0,20.450488269178955,3409.0,1.719116981155935,22.16960525033489
7.0,571939.0,22.267260274210617,4042.0,1.8719320678646614,24.13919234207528
8.0,586863.0,22.55590694906885,4151.0,1.8970042169502839,24.45291116601913
9.0,28902.0,5.005596957139026,204.0,0.4205397123697865,5.4261366695088125
10.0,32479.0,5.306317769820012,229.0,0.44556356568106353,5.751881335501076
11.0,6581.0,2.388569459214576,46.0,0.19969668035183652,2.5882661395664126
12.0,15452.0,3.660026917060783,109.0,0.30740093107713967,3.967427848137923
13.0,4292.0,1.9289536232174358,30.0,0.16126961790378483,2.0902232411212207
14.0,13878.0,3.4686091962306786,98.0,0.291477454048943,3.7600866502796215
15.0,429.0,0.6098465562100917,3.0,0.05099793099610293,0.6608444872061946
16.0,10158.0,2.9675362573152784,71.0,0.24809676645596207,3.2156330237712405
17.0,40062.0,5.893295839375897,283.0,0.4953191823948699,6.388615021770767
18.0,4578.0,1.9921857247600885,32.0,0.16655854517082458,2.158744269930913
19.0,14594.0,3.5569609766438037,103.0,0.29882060587470505,3.855781582518509
20.0,11017.0,3.090463397676582,77.0,0.2583671485651199,3.348830546241702
21.0,7726.0,2.5880298523789733,54.0,0.21636589700296802,2.8043957493819414
22.0,1001.0,0.9315560020469621,7.0,0.07790062635859211,1.0094566284055542
23.0,24753.0,4.632397841021743,174.0,0.38838867133482413,5.020786512356567
24.0,13735.0,3.4506925124486143,97.0,0.28998651100276934,3.7406790234513836
25.0,10015.0,2.946574366577852,70.0,0.2463434104468999,3.192917777024752
26.0,18886.0,4.046335807850173,133.0,0.33956095793562396,4.385896765785797
27.0,40492.0,5.9248388671914,286.0,0.4979376280360881,6.422776495227488
28.0,9443.0,2.861191488688805,66.0,0.23920149926250897,3.100392987951314
29.0,23179.0,4.4826958942214095,163.0,0.37591160372219334,4.858607497943603
30.0,12161.0,3.2469572738235266,85.0,0.2714572170711734,3.5184144908947
31.0,34482.0,5.467491963767516,243.0,0.45898137896492636,5.926473342732443
32.0,23465.0,4.510266551045923,165.0,0.37821077869830755,4.888477329744231
33.0,20031.0,4.167189451561163,141.0,0.349624200244368,4.516813651805531
34.0,9586.0,2.882774301892599,67.0,0.24100681920793549,3.123781121100534
35.0,22320.0,4.398848702350602,157.0,0.36892811749882226,4.767776819849424
36.0,13306.0,3.3963754199657648,94.0,0.28546696410911715,3.6818423840748817
37.0,6295.0,2.3360912182700417,44.0,0.19530720630062454,2.5313984245706664
38.0,8012.0,2.6354962337705845,56.0,0.22033624462735996,2.8558324783979443
39.0,26470.0,4.790368250525573,187.0,0.402636120510887,5.1930043710364595
40.0,15023.0,3.608861899752906,106.0,0.30314112796057396,3.91200302771348
41.0,37630.0,5.71161648999031,265.0,0.4793082084139835,6.190924698404293
42.0,15166.0,3.625997125232624,107.0,0.30456768232447695,3.930564807557101
43.0,21462.0,4.313472413488808,151.0,0.36180986436173657,4.6752822778505445
44.0,9750.0,2.9073293826329083,37205.0,5.679270888523376,8.586600271156284
