city_number,population,radius_of_circle,population_additional_0,radius_of_circle_additional_0,radius_of_circle_new_0
1.0,10562751.0,12.416745565497742,7336.0,0.32722684288358617,12.743972408381328
2.0,2839449.0,6.437782459176979,1972.0,0.16965736447960997,6.607439823656589
3.0,9654127.0,11.87068456367188,6705.0,0.3128373886330404,12.18352195230492
4.0,2044403.0,5.462639185145819,1419.0,0.143916456947079,5.606555642092898
5.0,3634495.0,7.2835196928602475,2524.0,0.1919393130843103,7.475459005944558
6.0,4543119.0,8.143222798400704,3155.0,0.21459467580556638,8.35781747420627
7.0,7609724.0,10.539104570271009,5285.0,0.277742126782529,10.816846697053538
8.0,10449177.0,12.34981078881055,7261.0,0.3255498348014908,12.675360623612042
9.0,935466.0,3.6951601413832917,649.0,0.09732885389362558,3.7924889952769174
10.0,87310.0,1.1288890358187984,60.0,0.029593401484536482,1.1584824373033349
11.0,1097613.0,4.002615584386438,762.0,0.1054621805440086,4.108077764930447
12.0,399132.0,2.413668013352532,277.0,0.06358565443094791,2.4772536677834798
13.0,823210.0,3.4663673040113774,571.0,0.09129296558549437,3.5576602695968718
14.0,311822.0,2.133401702326419,216.0,0.05614953144176608,2.189551233768185
15.0,149674.0,1.4780612914987679,103.0,0.03877375602491362,1.5168350475236814
16.0,274403.0,2.001306880529341,190.0,0.05266184389902926,2.0539687244283704
17.0,773318.0,3.359683144048785,537.0,0.08853324930360032,3.4482163933523853
18.0,1122559.0,4.0478447654684055,779.0,0.10663210675808424,4.15447687222649
19.0,498915.0,2.698562876486566,346.0,0.07106525362334702,2.769628130109913
20.0,199566.0,1.7067210197746376,138.0,0.04488061548461007,1.7516016352592476
21.0,586225.0,2.925172140839466,407.0,0.07707552037341485,3.002247661212881
22.0,1135032.0,4.07027088899601,788.0,0.10724631277289313,4.177517201768903
23.0,561279.0,2.8622572079718056,389.0,0.07535187467744381,2.9376090826492494
24.0,1060194.0,3.933796883792808,736.0,0.10364734172574286,4.03744422551855
25.0,760845.0,3.3324785016451552,528.0,0.0877882157270536,3.420266717372209
26.0,74837.0,1.0451471622281252,51.0,0.02728376806292014,1.0724309302910453
27.0,1172450.0,4.136818113851114,814.0,0.10900124623904706,4.245819360090161
28.0,735899.0,3.277391834213656,511.0,0.0863633959149899,3.363755230128646
29.0,361713.0,2.2977423017488228,251.0,0.06052797180748562,2.3582702735563084
30.0,997839.0,3.816361429701675,26554.0,0.6225643333688301,4.438925763070505
